location,lat,lng,ward,neighborhood,zipcode
11XX BATES ST,38.567995300000010000000,-90.253335400000000000000,Ward 13,Carondelet,63116
44XX LABADIE AVE,38.665417200000000000000,-90.240899900000000000000,Ward 4,Greater Ville,63115
41XX BATES ST,38.573931200000000000000,-90.264956800000000000000,Ward 13,Bevo Mill,63116
WINNEBAGO ST / NEBRASKA AVE,38.588772400000000000000,-90.233411900000000000000,Ward 20,Gravois Park,63118
40XX CLEVELAND AVE,38.611070300000000000000,-90.248858099999990000000,Ward 8,Shaw,63110
GRAVOIS AVE / S COMPTON AVE,38.598314400000000000000,-90.236129600000000000000,Ward 6,Tower Grove East,63118
36XX PALM ST,38.660180300000000000000,-90.217447400000000000000,Ward 3,Jeff Vanderlou,63107
46XX POPE AVE,38.679155000000000000000,-90.227499999999990000000,Ward 21,O'Fallon,63115
CALIFORNIA AVE / VICTOR ST,38.607492100000000000000,-90.227182700000000000000,Ward 6,Fox Park,63104
44XX ATHLONE AVE,38.675833500000000000000,-90.227347999999990000000,Ward 21,O'Fallon,63115
46XX TENNESSEE AVE,38.576022400000000000000,-90.246255100000000000000,Ward 25,Dutchtown,63111
ARSENAL ST / WATSON RD,38.607356900000000000000,-90.292805500000000000000,Ward 23,Lindenwood Park,63139
38XX MAFFITT AVE,38.656292500000000000000,-90.224956300000000000000,Ward 3,Jeff Vanderlou,63113
12XX MCLARAN AVE,38.715416200000000000000,-90.235038699999990000000,Ward 2,Baden,63147
20XX E FAIR AVE,38.677616900000000000000,-90.217162399999990000000,Ward 21,O'Fallon Park,63107
DELMAR BLVD / N KINGSHIGHWAY BLVD,38.651567200000000000000,-90.263525600000000000000,Ward 28,Central West End,63108
CASTLEMAN AVE / S GRAND BLVD,38.614274600000000000000,-90.239918300000000000000,Ward 8,Shaw,63110
50XX S GRAND BLVD,38.572533500000000000000,-90.250573100000000000000,Ward 25,Dutchtown,63111
29XX INDIANA AVE,38.600445300000000000000,-90.222377700000000000000,Ward 9,Benton Park,63118
28XX MAGNOLIA AVE,38.603649300000010000000,-90.227643700000000000000,Ward 6,Fox Park,63118
42XX SCHILLER PL,38.577282000000000000000,-90.266955099999990000000,Ward 13,Bevo Mill,63116
MARCUS AVE / DR MARTIN LUTHER KING DR,38.660210800000000000000,-90.253525400000000000000,Ward 18,Lewis Place,63113
38XX BAMBERGER AVE,38.588918100000000000000,-90.249640500000000000000,Ward 25,Dutchtown,63116
38XX UPTON ST,38.557702800000000000000,-90.271032699999990000000,Ward 12,Boulevard Heights,63116
DAVIS ST / S BROADWAY,38.543117200000000000000,-90.262807400000000000000,Ward 11,Patch,63111
PAGE BLVD / HAMILTON AVE,38.668468700000000000000,-90.286108500000000000000,Ward 22,West End,63112
MONTGOMERY ST / N GRAND BLVD,38.652885100000000000000,-90.222677600000000000000,Ward 3,Jeff Vanderlou,63106
42XX KENNERLY AVE,38.659179100000000000000,-90.235781400000000000000,Ward 4,The Ville,63113
70XX GRAVOIS AVE,38.568725300000000000000,-90.286249800000000000000,Ward 12,Boulevard Heights,63116
X GOVERNMENT DR,38.635917300000000000000,-90.292836299999990000000,Ward 28,Forest Park,63110
40XX S SPRING AVE,38.585495000000000000000,-90.248630999999990000000,Ward 25,Dutchtown,63116
51XX HIGHLAND AVE,38.668914000000000000000,-90.260474000000000000000,Ward 1,Kingsway West,63113
15XX HERDER ST,38.657115600000000000000,-90.198446900000000000000,Ward 3,Hyde Park,63107
